sample_idx,time_ns,A_hex,B_hex,Cin,Sum_hex,Cout,Expected_total_hex,Match
116,1162000,491b,b486,1,fda2,0,0fda2,1
117,1172000,4186,d9a6,1,1b2d,1,11b2d,1
118,1182000,ebd8,be13,0,a9eb,1,1a9eb,1
119,1192000,a97e,dc44,0,85c2,1,185c2,1
120,1202000,6c33,6605,0,d238,0,0d238,1
121,1212000,3f11,f77c,1,368e,1,1368e,1
122,1222000,6cb2,c2e0,0,2f92,1,12f92,1
123,1232000,ca1d,6446,1,2e64,1,12e64,1
124,1242000,64f6,6ab2,1,cfa9,0,0cfa9,1
125,1252000,5338,a9a2,0,fcda,0,0fcda,1
126,1262000,3345,a658,0,d99d,0,0d99d,1
127,1272000,d99d,b250,1,8bee,1,18bee,1
128,1282000,90d9,df66,1,7040,1,17040,1
129,1292000,da6f,c008,1,9a78,1,19a78,1
130,1302000,9dfc,a311,0,410d,1,1410d,1
131,1312000,970b,855a,1,1c66,1,11c66,1
132,1322000,4cfd,66d8,0,b3d5,0,0b3d5,1
133,1332000,e05d,366e,1,16cc,1,116cc,1
134,1342000,21c9,d187,1,f351,0,0f351,1
135,1352000,a4c3,57a8,0,fc6b,0,0fc6b,1
136,1362000,c597,a055,1,65ed,1,165ed,1
137,1372000,57b4,c796,0,1f4a,1,11f4a,1
138,1382000,671d,3677,1,9d95,0,09d95,1
139,1392000,4857,1cb5,1,650d,0,0650d,1
140,1402000,cbb1,14a3,0,e054,0,0e054,1
141,1412000,c7dd,46f1,1,0ecf,1,10ecf,1
142,1422000,db42,9ab1,0,75f3,1,175f3,1
143,1432000,2447,de17,0,025e,1,1025e,1
144,1442000,0541,eca6,0,f1e7,0,0f1e7,1
145,1452000,bb06,df2a,0,9a30,1,19a30,1
146,1462000,23eb,399d,1,5d89,0,05d89,1
147,1472000,8c47,3ff0,1,cc38,0,0cc38,1
148,1482000,2874,23d7,1,4c4c,0,04c4c,1
149,1492000,095c,82a6,1,8c03,0,08c03,1
150,1502000,a588,fd18,1,a2a1,1,1a2a1,1
151,1512000,3660,7e6c,0,b4cc,0,0b4cc,1
152,1522000,ba3f,abfd,1,663d,1,1663d,1
153,1532000,7f35,2f0e,0,ae43,0,0ae43,1
154,1542000,8265,1b5e,0,9dc3,0,09dc3,1
155,1552000,3b3a,7822,0,b35c,0,0b35c,1
156,1562000,ff34,23dd,1,2312,1,12312,1
157,1572000,af69,bfb1,1,6f1b,1,16f1b,1
158,1582000,6e5b,3687,1,a4e3,0,0a4e3,1
159,1592000,bc23,0e29,0,ca4c,0,0ca4c,1
160,1602000,f7ba,0148,1,f903,0,0f903,1
161,1612000,f8ee,cbb1,1,c4a0,1,1c4a0,1
162,1622000,f1d7,edaf,0,df86,1,1df86,1
163,1632000,e4d9,f1a3,0,d67c,1,1d67c,1
164,1642000,15a4,292e,0,3ed2,0,03ed2,1
165,1652000,9f78,cd88,1,6d01,1,16d01,1
166,1662000,6739,fbef,0,6328,1,16328,1
167,1672000,a9d3,e0dc,0,8aaf,1,18aaf,1
168,1682000,4529,6619,1,ab43,0,0ab43,1
169,1692000,b5b9,81e3,1,379d,1,1379d,1
170,1702000,9900,3169,0,ca69,0,0ca69,1
171,1712000,1d0f,23de,0,40ed,0,040ed,1
172,1722000,f5a2,187a,0,0e1c,1,10e1c,1
173,1732000,1582,90d9,1,a65c,0,0a65c,1
174,1742000,1f54,49d3,1,6928,0,06928,1
175,1752000,e330,fb55,1,de86,1,1de86,1
176,1762000,14a6,a90b,0,bdb1,0,0bdb1,1
177,1772000,d4c2,6231,1,36f4,1,136f4,1
178,1782000,4b51,dbfb,0,274c,1,1274c,1
179,1792000,7278,0422,0,769a,0,0769a,1
180,1802000,bb62,6e0e,1,2971,1,12971,1
181,1812000,39df,af81,1,e961,0,0e961,1
182,1822000,1a38,b868,0,d2a0,0,0d2a0,1
183,1832000,16df,055e,0,1c3d,0,01c3d,1
184,1842000,87a9,1e3f,0,a5e8,0,0a5e8,1
185,1852000,c399,1bac,0,df45,0,0df45,1
186,1862000,d73f,5a65,0,31a4,1,131a4,1
187,1872000,4fce,384d,1,881c,0,0881c,1
188,1882000,30e6,4c74,1,7d5b,0,07d5b,1
189,1892000,9d15,9dd6,1,3aec,1,13aec,1
190,1902000,850e,3d7a,0,c288,0,0c288,1
191,1912000,670c,aace,0,11da,1,111da,1
192,1922000,c57f,f07e,0,b5fd,1,1b5fd,1
193,1932000,708e,a01b,1,10aa,1,110aa,1
194,1942000,6551,39dc,0,9f2d,0,09f2d,1
195,1952000,6dcd,b216,0,1fe3,1,11fe3,1
196,1962000,003d,fac5,1,fb03,0,0fb03,1
197,1972000,4b7c,a7f2,1,f36f,0,0f36f,1
198,1982000,2b3f,7eba,1,a9fa,0,0a9fa,1
199,1992000,9d50,75f0,1,1341,1,11341,1
200,2002000,ab34,1ada,0,c60e,0,0c60e,1
201,2012000,8654,93c3,0,1a17,1,11a17,1
202,2022000,0c78,25ea,1,3263,0,03263,1
203,2032000,24ce,a2bb,1,c78a,0,0c78a,1
204,2042000,1873,edaf,0,0622,1,10622,1
205,2052000,c097,70aa,1,3142,1,13142,1
206,2062000,c134,d756,0,988a,1,1988a,1
207,2072000,d1b7,1dad,0,ef64,0,0ef64,1
208,2082000,2a4e,8ca5,1,b6f4,0,0b6f4,1
209,2092000,890b,7736,1,0042,1,10042,1
210,2102000,0aae,cc5b,1,d70a,0,0d70a,1
211,2112000,b493,df95,1,9429,1,19429,1
212,2122000,9ecd,bdab,0,5c78,1,15c78,1
213,2132000,b057,8f82,0,3fd9,1,13fd9,1
214,2142000,8a40,a8d4,0,3314,1,13314,1
215,2152000,99ce,03d0,1,9d9f,0,09d9f,1
216,2162000,23df,fd61,1,2141,1,12141,1
217,2172000,48a4,247c,0,6d20,0,06d20,1
218,2182000,6d01,dbbb,1,48bd,1,148bd,1
219,2192000,6579,1d03,0,827c,0,0827c,1
220,2202000,1248,483e,1,5a87,0,05a87,1
221,2212000,59fe,9591,0,ef8f,0,0ef8f,1
